PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
310,1007637502,323,WEST 39 STREET,75774,85,A
311,1007640001,80,8 AVENUE,185198,89,A
312,1007640062,244,WEST 15 STREET,44800,85,A
313,1007677505,210,WEST 18 STREET,304312,100,A
314,1007687501,210,WEST 19 STREET,51717,87,A
315,1007700059,234,WEST 21 STREET,32718,89,A
316,1007710023,223,WEST 21 STREET,46620,96,A
317,1007720018,235,WEST 22 STREET,116586,90,A
318,1007730027,225,WEST 23 STREET,66524,90,A
319,1007730056,220,WEST 24 STREET,57207,90,A
320,1007737501,200,WEST 24 STREET,30927,85,A
321,1007740008,253,WEST 24 STREET,59250,100,A
322,1007750017,231,WEST 25 STREET,50029,92,A
323,1007750046,220,WEST 26 STREET,136477,99,A
324,1007757502,260,WEST 26 STREET,215254,87,A
325,1007760001,322,8 AVENUE,173491,93,A
326,1007760055,230,WEST 27 STREET,109132,88,A
327,1007760065,250,WEST 27 STREET,66636,98,A
328,1007780020,239,WEST 28 STREET,156500,87,A
329,1007780034,207,WEST 28 STREET,57414,98,A
330,1007780048,214,WEST 29 STREET,125042,94,A
331,1007790023,227,WEST 29 STREET,55000,99,A
332,1007790039,350,7 AVENUE,143845,100,A
333,1007790041,352,7 AVENUE,127488,87,A
334,1007790049,208,WEST 30 STREET,77556,96,A
335,1007790057,224,WEST 30 STREET,142801,93,A
336,1007790063,236,WEST 30 STREET,64414,95,A
337,1007800015,243,WEST 30 STREET,42327,99,A
338,1007840041,450,7 AVENUE,491253,89,A
339,1007840051,212,WEST 35 STREET,84768,96,A
340,1007840068,248,WEST 35 STREET,133948,93,A
341,1007840077,494,8 AVENUE,111274,95,A
342,1007850011,253,WEST 35 STREET,132118,88,A
343,1007850015,247,WEST 35 STREET,95568,87,A
344,1007850018,237,WEST 35 STREET,144141,89,A
345,1007850023,233,WEST 35 STREET,41584,99,A
346,1007850029,213,WEST 35 STREET,163681,99,A
347,1007850067,242,WEST 36 STREET,152667,95,A
348,1007850073,256,WEST 36 STREET,35000,89,A
349,1007850075,260,WEST 36 STREET,81375,88,A
350,1007860001,520,8 AVENUE,754487,91,A
351,1007860020,241,WEST 36 STREET,74100,88,A
352,1007860068,240,WEST 37 STREET,130766,95,A
